product_category,order_count,avg_review_score,low_rating_2_rate,late_rate,avg_delay_days,risk_label
fashion_male_clothing,111,3.64,26.13,3.6,-12.86,Review issue category
office_furniture,1263,3.49,22.64,7.84,-11.86,Monitor
audio,347,3.83,21.9,11.53,-10.1,Monitor
construction_tools_safety,166,3.84,20.48,2.41,-12.31,Monitor
unknown,1439,3.84,20.08,6.95,-11.42,Monitor
home_confort,395,3.83,19.24,9.37,-9.81,Monitor
fixed_telephony,214,3.68,18.69,4.21,-14.7,Monitor
fashion_underwear_beach,120,3.98,18.33,9.17,-10.95,Monitor
home_construction,487,3.94,17.66,5.95,-11.48,Monitor
dvds_blu_ray,58,4.08,17.24,6.9,-13.36,Monitor
bed_bath_table,9313,3.9,16.76,7.17,-11.69,Monitor
furniture_decor,6398,3.91,16.68,6.88,-12.46,Monitor
air_conditioning,249,3.97,16.47,3.61,-14.27,Monitor
computers_accessories,6649,3.93,16.09,6.12,-12.46,Monitor
baby,2861,4.01,16.01,7.69,-11.73,Monitor
art,200,3.94,16.0,6.0,-12.79,Monitor
furniture_bedroom,95,4.12,15.79,6.32,-13.51,Monitor
telephony,4168,3.95,15.48,6.89,-11.39,Monitor
furniture_living_room,417,3.9,15.35,6.95,-11.89,Monitor
watches_gifts,5576,4.02,15.21,7.08,-11.97,Monitor
agro_industry_and_commerce,182,4.0,14.84,3.85,-11.46,Monitor
construction_tools_construction,743,4.05,14.54,7.0,-11.68,Monitor
auto,3877,4.06,14.5,7.04,-11.46,Monitor
consoles_games,1052,4.02,14.26,5.61,-11.73,Monitor
electronics,2531,4.04,14.07,7.51,-11.15,Monitor
small_appliances,624,4.15,13.94,4.49,-13.93,Monitor
costruction_tools_garden,194,4.05,13.92,5.15,-13.54,Monitor
cine_photo,65,4.19,13.85,6.15,-11.33,Monitor
kitchen_dining_laundry_garden_furniture,246,3.96,13.82,4.47,-12.42,Monitor
market_place,278,4.02,13.67,3.96,-14.64,Monitor
garden_tools,3496,4.05,13.44,6.32,-12.04,Monitor
perfumery,3150,4.17,13.33,6.35,-12.43,Monitor
housewares,5843,4.05,13.21,5.13,-12.34,Monitor
books_imported,53,4.4,13.21,3.77,-11.19,Monitor
musical_instruments,622,4.15,13.18,7.4,-11.47,Monitor
sports_leisure,7669,4.11,13.01,6.35,-12.02,Monitor
tablets_printing_image,77,4.12,12.99,3.9,-13.02,Monitor
home_appliances_2,232,4.14,12.93,6.03,-12.36,Monitor
computers,178,4.18,12.92,4.49,-11.78,Monitor
fashion_shoes,236,4.23,12.71,4.24,-14.87,Monitor
health_beauty,8771,4.14,12.7,7.23,-12.01,Monitor
christmas_supplies,126,4.02,12.7,7.14,-12.81,Monitor
toys,3853,4.16,12.69,6.02,-12.19,Monitor
cool_stuff,3599,4.15,12.5,5.7,-12.52,Monitor
home_appliances,761,4.16,12.48,4.34,-12.67,Monitor
drinks,296,4.04,12.16,5.07,-11.53,Monitor
pet_shop,1701,4.18,11.64,4.94,-12.57,Monitor
fashion_bags_accessories,1854,4.15,11.6,5.45,-13.35,Monitor
signaling_and_security,138,4.09,11.59,3.62,-12.83,Monitor
food,445,4.22,11.46,6.74,-9.86,Monitor
