customer_state,order_count,late_orders,late_rate,avg_delivery_days,avg_review_score
AL,413,85,20.58,24.5,3.76
MA,747,125,16.73,21.51,3.76
SE,350,51,14.57,21.46,3.81
PI,495,66,13.33,19.39,3.92
CE,1336,176,13.17,21.2,3.86
BA,3380,396,11.72,19.28,3.86
RJ,12852,1495,11.63,15.24,3.88
PA,975,106,10.87,23.73,3.85
ES,2033,214,10.53,15.72,4.04
PB,536,54,10.07,20.39,4.02
TO,280,27,9.64,17.6,4.1
MS,715,68,9.51,15.54,4.11
PE,1652,153,9.26,18.4,4.01
RN,485,44,9.07,19.22,4.11
SC,3637,291,8.0,14.91,4.07
GO,2020,128,6.34,15.54,4.04
RS,5466,325,5.95,15.25,4.13
MT,907,53,5.84,18.0,4.1
DF,2140,118,5.51,12.9,4.06
MG,11635,520,4.47,11.95,4.14
SP,41746,1820,4.36,8.7,4.17
PR,5045,199,3.94,11.94,4.18
RO,253,7,2.77,19.28,4.05
AM,148,4,2.7,26.36,4.21
