representative_state,representative_city,customer_zip_code_prefix,reviewed_orders,avg_review_score,low_rating_2_rate,late_rate,zip_risk_score
RJ,rio de janeiro,22621,33,3.06,42.42,24.24,564.16
RJ,rio de janeiro,22793,120,3.42,34.17,29.17,519.52
BA,porto seguro,45810,40,3.38,37.5,25.0,519.36
RJ,rio de janeiro,22723,44,3.36,36.36,25.0,508.64
RJ,rio de janeiro,22753,65,3.03,41.54,10.77,495.21
RJ,rio das ostras,28893,37,3.35,35.14,21.62,477.49
MA,sao luis,65075,35,3.23,34.29,20.0,460.18
RJ,rio de janeiro,22713,36,3.5,33.33,19.44,447.88
RJ,rio de janeiro,22770,50,3.4,32.0,20.0,440.0
SP,campinas,13056,40,3.38,30.0,22.5,429.82
BA,luis eduardo magalhaes,47850,36,3.56,30.56,19.44,419.36
RJ,rio de janeiro,22743,51,3.53,29.41,19.61,411.52
RJ,rio de janeiro,23075,33,3.7,30.3,18.18,409.75
RJ,rio de janeiro,22710,54,3.57,31.48,14.81,409.5
RJ,niteroi,24030,33,3.58,33.33,9.09,395.37
SC,florianopolis,88058,43,3.58,25.58,23.26,388.68
RJ,rio de janeiro,22251,35,3.66,28.57,17.14,387.24
SP,campinas,13054,38,3.55,23.68,26.32,383.42
SC,florianopolis,88015,37,3.54,29.73,13.51,381.45
RJ,rio de janeiro,22775,110,3.68,28.18,12.73,373.29
MG,curvelo,35790,44,3.52,31.82,6.82,370.98
MG,pocos de caldas,37704,31,3.65,29.03,12.9,369.84
RJ,niteroi,24360,31,3.74,29.03,12.9,369.84
RJ,nova iguacu,26255,34,3.85,26.47,17.65,367.94
RJ,itaperuna,28300,47,3.83,23.4,23.4,367.65
RJ,rio de janeiro,21321,58,3.55,29.31,10.34,365.44
SP,campinas,13060,68,3.74,20.59,27.94,364.3
RJ,rio de janeiro,22620,36,3.72,27.78,13.89,363.03
RJ,rio das ostras,28895,34,3.85,23.53,20.59,352.38
SP,itupeva,13295,44,3.45,29.55,6.82,347.57
