review_month,reviewed_orders,avg_review_score,low_rating_2_rate,late_rate,non_delivered_rate,score_1_rate,suspected_cause
2016-10-01,177,4.05,16.38,0.56,3.95,14.12,Low sample / early-period instability
2016-11-01,101,3.19,37.62,1.98,19.8,33.66,Low sample / early-period instability
2016-12-01,45,2.36,64.44,0.0,71.11,64.44,Low sample / early-period instability
2017-01-01,236,4.33,8.47,0.0,0.85,7.2,Low sample / early-period instability
2017-02-01,1403,4.28,9.55,0.64,1.07,6.77,Normal monitoring
2017-03-01,2467,4.03,15.77,2.72,6.93,12.65,Normal monitoring
2017-04-01,2049,4.04,15.28,4.59,5.66,11.81,Normal monitoring
2017-05-01,3678,4.1,13.84,4.79,3.1,10.3,Normal monitoring
2017-06-01,3402,4.13,13.14,2.62,4.26,10.23,Normal monitoring
2017-07-01,3476,4.18,12.03,2.68,3.65,8.89,Normal monitoring
2017-08-01,4459,4.23,11.46,2.44,2.89,8.45,Normal monitoring
2017-09-01,4164,4.18,12.37,3.05,3.7,9.37,Normal monitoring
2017-10-01,4398,4.18,12.26,3.93,2.61,9.25,Normal monitoring
2017-11-01,4752,4.11,13.43,4.08,3.43,10.61,Normal monitoring
2017-12-01,7925,3.93,18.54,11.19,3.05,14.93,Delivery delay shock
2018-01-01,6151,4.06,14.97,5.93,1.95,11.45,Normal monitoring
2018-02-01,6051,4.01,16.11,6.31,3.02,12.84,Normal monitoring
2018-03-01,7715,3.73,23.51,17.56,2.83,19.59,Delivery delay shock
2018-04-01,7274,3.92,19.08,12.76,2.42,15.33,Delivery delay shock
2018-05-01,7445,4.19,12.09,4.15,1.96,9.31,Normal monitoring
2018-06-01,6710,4.2,12.27,5.56,1.3,9.2,Normal monitoring
2018-07-01,5612,4.29,10.39,1.62,1.55,8.09,Normal monitoring
2018-08-01,8983,4.21,12.16,6.21,3.03,9.36,Normal monitoring
