segment_type,segment_name,order_count,avg_review_score,low_rating_2_count,low_rating_2_rate,late_rate,avg_delay_days,priority_score
seller,1ca7077d890b907f89be8c954a02686a,114,2.2,70,61.4,15.79,-6.91,734.78
seller,54965bbe3e4f07ae045b90b0b8541f52,74,2.94,33,44.59,27.03,-2.33,609.77
seller,2eb70248d66e0e3ef83659f71b244378,198,2.72,99,50.0,10.1,-10.17,600.25
seller,ad781527c93d00d89a11eecd9dcad7c1,44,3.07,18,40.91,27.27,-9.08,566.66
seller,a49928bcdf77c55c6d6e05e09a9b4ca5,98,2.95,40,40.82,21.43,-4.59,546.97
customer_state,RJ,12687,3.88,2625,20.69,11.48,-11.83,520.47
seller,bbad7e518d7af88a0897397ffdca1979,68,3.04,28,41.18,16.18,-7.02,519.16
seller,2a1348e9addc1af5aaa619b1a3679d6b,51,3.0,19,37.25,23.53,-2.9,511.94
customer_state,SP,41472,4.17,5242,12.64,4.31,-11.1,509.96
seller,972d0f9cf61b499a4812cf0bfa3ad3c4,79,2.96,33,41.77,11.39,-9.67,503.37
seller,602044f2c16190c2c6e45eb35c2e21cb,49,2.89,19,38.78,14.29,-8.63,481.04
seller,712e6ed8aa4aa1fa65dab41fed5737e4,78,3.45,27,34.62,19.23,-10.33,468.33
seller,835f0f7810c76831d6c7d24c7a646d4d,44,3.3,14,31.82,25.0,-5.67,461.91
seller,ede0c03645598cdfc63ca8237acbe73d,44,3.62,13,29.55,29.55,-4.87,461.28
seller,dc8798cbf453b7e0f98745e396cc5616,41,3.12,17,41.46,4.88,-9.4,459.62
seller,6fd52c528dcb38be2eea044946b811f8,66,3.5,24,36.36,13.64,-11.21,456.29
seller,0b35c634521043bf4b47e21547b99ab5,50,3.49,18,36.0,14.0,-15.21,451.21
seller,88460e8ebdecbfecb5f9601833981930,247,3.35,77,31.17,16.6,-11.02,438.57
seller,850913d59ce317156b00f3705f1c3edb,32,3.35,11,34.38,15.62,-7.37,438.48
seller,070d165398b553f3b4b851c216b8a358,31,3.5,11,35.48,12.9,-8.76,435.88
seller,8444e55c1f13cd5c179851e5ca5ebd00,99,3.07,35,35.35,6.06,-21.27,413.38
seller,c60b801f2d52c7f7f91de00870882a75,41,3.32,13,31.71,14.63,-10.67,408.28
seller,cac4c8e7b1ca6252d8f20b2fc1a2e4af,74,3.51,22,29.73,16.22,-5.1,401.85
product_category,bed_bath_table,9313,3.9,1561,16.76,7.17,-11.69,401.0
seller,b2479f944e1b90cf8a5de1bbfde284d6,102,3.29,32,31.37,11.76,-8.53,400.78
seller,d3f39f05462b79a4562d35893a28f159,34,3.37,11,32.35,11.76,-12.3,398.88
customer_state,AL,410,3.76,98,23.9,20.0,-8.82,388.5
seller,5058e8c1e82653974541e83690655b4a,62,3.08,19,30.65,11.29,-16.05,384.74
seller,7c67e1448b00f6e969d365cea6b010ab,976,3.35,251,25.72,8.91,-11.53,380.96
seller,ef990a83bbea832f36ebe81376335aa8,43,3.66,11,25.58,20.93,-8.45,377.03
seller,710e3548e02bc1d2831dfc4f1b5b14d4,135,3.4,44,32.59,2.96,-22.26,373.87
seller,18a349e75d307f4b4cc646a691ed4216,120,3.39,38,31.67,5.0,-14.87,372.52
customer_state,BA,3340,3.86,631,18.89,11.5,-10.9,372.0
seller,2089a6d640999f9b9141ac719b2af596,44,3.73,13,29.55,11.36,-11.44,370.33
product_category,furniture_decor,6398,3.91,1067,16.68,6.88,-12.46,364.52
customer_state,MA,742,3.76,162,21.83,16.44,-9.65,364.14
seller,6973a06f484aacf400ece213dbf3d946,94,3.5,25,26.6,13.83,-7.5,360.15
seller,8e6d7754bc7e0f22c96d255ebda59eba,85,2.98,23,27.06,12.94,-6.29,359.28
product_category,computers_accessories,6649,3.93,1070,16.09,6.12,-12.46,355.05
customer_state,MG,11554,4.14,1538,13.31,4.38,-13.26,351.09
seller,82e0a475a88cc9595229d8029273f045,42,3.46,12,28.57,9.52,-8.14,350.62
product_category,office_furniture,1263,3.49,286,22.64,7.84,-11.86,350.16
seller,897060da8b9a21f655304d50fd935913,314,3.39,81,25.8,9.24,-10.13,349.2
seller,ea566164622c6b439516ab18062c42cd,50,3.75,12,24.0,18.0,-7.79,347.32
seller,7040e82f899a04d1b434b795a43b4617,210,3.53,57,27.14,7.62,-10.28,347.25
seller,1835b56ce799e6a4dc4eddc053f04066,420,3.59,103,24.52,10.24,-10.78,347.14
seller,3c7c4a49ec3c6550809089c6a2ca9370,141,3.71,40,28.37,5.67,-9.44,343.67
customer_state,CE,1326,3.86,261,19.68,13.12,-10.85,343.18
seller,f46490624488d3ff7ce78613913a7711,83,3.46,22,26.51,10.84,-9.16,342.75
seller,a7f13822ceb966b076af67121f87b063,74,3.44,22,29.73,4.05,-16.93,341.0
