route,seller_state,customer_state,order_count,late_rate,avg_review_score,avg_delivery_days
SP -> AL,SP,AL,264,22.35,3.58,24.48
MA -> SP,MA,SP,124,19.35,3.9,15.93
SP -> MA,SP,MA,505,18.22,3.61,21.97
SP -> SE,SP,SE,212,16.04,3.75,21.25
SP -> PI,SP,PI,339,15.63,3.84,20.31
PR -> BA,PR,BA,146,13.7,3.71,21.44
SP -> RJ,SP,RJ,8353,13.47,3.73,15.98
SP -> CE,SP,CE,1000,13.1,3.82,20.8
SP -> BA,SP,BA,2359,12.34,3.76,19.64
SP -> MS,SP,MS,484,12.19,3.97,15.88
SP -> ES,SP,ES,1476,11.79,3.95,15.58
PR -> RJ,PR,RJ,992,11.29,3.76,16.7
SP -> PA,SP,PA,692,11.27,3.74,23.13
SP -> TO,SP,TO,200,10.5,4.08,17.47
RJ -> BA,RJ,BA,136,10.29,4.03,16.74
SP -> PB,SP,PB,345,9.86,3.98,20.46
SP -> RN,SP,RN,338,9.47,4.02,20.6
SP -> PE,SP,PE,1158,9.33,3.91,18.57
SP -> SC,SP,SC,2349,9.28,3.91,15.65
MG -> BA,MG,BA,376,9.04,3.99,17.79
SC -> RJ,SC,RJ,476,8.61,3.91,16.01
RJ -> SC,RJ,SC,117,8.55,4.09,14.84
RJ -> RS,RJ,RS,207,8.21,4.12,15.86
RJ -> PR,RJ,PR,206,7.77,3.86,12.53
RJ -> DF,RJ,DF,103,7.77,3.89,15.27
MG -> RJ,MG,RJ,1185,7.76,3.98,13.86
PR -> ES,PR,ES,108,7.41,4.08,17.13
RJ -> SP,RJ,SP,1374,7.35,4.03,11.61
SP -> GO,SP,GO,1454,7.08,3.95,15.73
MG -> PE,MG,PE,114,7.02,4.14,16.53
DF -> RJ,DF,RJ,100,7.0,3.74,14.08
ES -> SP,ES,SP,102,6.86,4.08,11.23
RS -> RJ,RS,RJ,243,6.58,4.01,14.11
SP -> RS,SP,RS,3654,6.46,3.99,15.94
SP -> DF,SP,DF,1407,6.33,3.95,13.12
MG -> SC,MG,SC,256,5.86,3.99,16.96
SP -> MT,SP,MT,658,5.62,4.01,17.47
RJ -> GO,RJ,GO,110,5.45,4.1,14.89
RJ -> MG,RJ,MG,561,5.35,4.17,11.97
SP -> MG,SP,MG,7536,5.1,4.04,12.21
PR -> SC,PR,SC,398,5.03,4.24,13.9
SP -> SP,SP,SP,31285,4.49,4.13,7.85
RJ -> RJ,RJ,RJ,985,4.47,4.21,6.46
SC -> RS,SC,RS,299,4.35,4.14,12.61
SP -> PR,SP,PR,3161,4.27,4.05,12.71
RS -> PR,RS,PR,141,4.26,4.26,9.98
MG -> RS,MG,RS,284,4.23,4.11,16.99
SC -> SC,SC,SC,265,4.15,4.25,8.38
PR -> RS,PR,RS,596,4.03,4.13,13.31
MG -> ES,MG,ES,174,4.02,4.0,14.99
