seller_state,order_count,item_count,avg_review_score,low_rating_2_count,low_rating_2_rate,late_order_count,late_rate,avg_delay_days
MA,388,398,4.0,65,16.75,71,18.3,-11.44
DF,823,898,4.03,126,15.31,43,5.22,-13.18
SP,69643,79661,4.01,10338,14.84,4914,7.06,-11.33
ES,314,367,4.01,45,14.33,18,5.73,-13.57
RJ,4318,4773,4.1,612,14.17,292,6.76,-12.54
PR,7615,8610,4.07,1065,13.99,389,5.11,-14.26
SC,3644,4045,4.1,498,13.67,171,4.69,-14.22
BA,567,641,4.09,74,13.05,26,4.59,-12.85
MG,7872,8747,4.11,984,12.5,356,4.52,-13.56
PE,403,445,4.13,45,11.17,14,3.47,-16.26
GO,460,517,4.25,46,10.0,13,2.83,-14.36
RS,1971,2177,4.22,194,9.84,59,2.99,-16.37
MT,137,145,4.17,11,8.03,5,3.65,-15.63
