product_category,order_count,item_count,avg_review_score,low_rating_2_count,low_rating_2_rate,late_order_count,late_rate
bed_bath_table,9313,10982,3.9,1561,16.76,668,7.17
health_beauty,8771,9588,4.14,1114,12.7,634,7.23
computers_accessories,6649,7782,3.93,1070,16.09,407,6.12
furniture_decor,6398,8250,3.91,1067,16.68,440,6.88
sports_leisure,7669,8581,4.11,998,13.01,487,6.35
watches_gifts,5576,5940,4.02,848,15.21,395,7.08
housewares,5843,6918,4.05,772,13.21,300,5.13
telephony,4168,4512,3.95,645,15.48,287,6.89
auto,3877,4192,4.06,562,14.5,273,7.04
toys,3853,4083,4.16,489,12.69,232,6.02
garden_tools,3496,4315,4.05,470,13.44,221,6.32
baby,2861,3040,4.01,458,16.01,220,7.69
cool_stuff,3599,3762,4.15,450,12.5,205,5.7
perfumery,3150,3405,4.17,420,13.33,200,6.35
electronics,2531,2748,4.04,356,14.07,190,7.51
unknown,1439,1589,3.84,289,20.08,100,6.95
office_furniture,1263,1677,3.49,286,22.64,99,7.84
stationery,2295,2499,4.2,263,11.46,146,6.36
fashion_bags_accessories,1854,2020,4.15,215,11.6,101,5.45
pet_shop,1701,1937,4.18,198,11.64,84,4.94
consoles_games,1052,1126,4.02,150,14.26,59,5.61
construction_tools_construction,743,924,4.05,108,14.54,52,7.0
home_appliances,761,768,4.16,95,12.48,33,4.34
luggage_accessories,1030,1088,4.32,95,9.22,43,4.17
small_appliances,624,673,4.15,87,13.94,28,4.49
home_construction,487,599,3.94,86,17.66,29,5.95
musical_instruments,622,674,4.15,82,13.18,46,7.4
audio,347,360,3.83,76,21.9,40,11.53
home_confort,395,432,3.83,76,19.24,37,9.37
furniture_living_room,417,498,3.9,64,15.35,29,6.95
food,445,495,4.22,51,11.46,30,6.74
books_general_interest,508,549,4.45,42,8.27,31,6.1
air_conditioning,249,292,3.97,41,16.47,9,3.61
fixed_telephony,214,261,3.68,40,18.69,9,4.21
market_place,278,309,4.02,38,13.67,11,3.96
drinks,296,373,4.04,36,12.16,15,5.07
construction_tools_safety,166,193,3.84,34,20.48,4,2.41
kitchen_dining_laundry_garden_furniture,246,279,3.96,34,13.82,11,4.47
art,200,207,3.94,32,16.0,12,6.0
home_appliances_2,232,236,4.14,30,12.93,14,6.03
fashion_shoes,236,258,4.23,30,12.71,10,4.24
fashion_male_clothing,111,131,3.64,29,26.13,4,3.6
agro_industry_and_commerce,182,212,4.0,27,14.84,7,3.85
costruction_tools_garden,194,238,4.05,27,13.92,10,5.15
construction_tools_lights,241,295,4.05,27,11.2,16,6.64
industry_commerce_and_business,233,265,4.1,26,11.16,15,6.44
books_technical,257,264,4.36,26,10.12,21,8.17
computers,178,200,4.18,23,12.92,8,4.49
fashion_underwear_beach,120,130,3.98,22,18.33,11,9.17
christmas_supplies,126,146,4.02,16,12.7,9,7.14
