seller_id,seller_city,seller_state,order_count,item_count,avg_review_score,low_rating_2_count,low_rating_2_rate,low_rating_contribution_score
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1785,1962,3.8,342,19.16,2.46
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1838,2014,3.91,319,17.36,2.3
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1698,1767,4.06,256,15.08,1.84
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,976,1356,3.35,251,25.72,1.81
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1399,1923,3.99,198,14.15,1.43
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,1140,1196,3.95,176,15.44,1.27
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,907,1416,3.85,158,17.42,1.14
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1308,1545,4.07,155,11.85,1.12
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1124,1148,4.12,152,13.52,1.09
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1277,1487,4.05,146,11.43,1.05
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,700,812,3.85,141,20.14,1.01
8b321bb669392f5163d04c59e235e066,sao paulo,SP,939,1014,4.0,141,15.02,1.01
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1069,1135,4.11,123,11.51,0.89
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1151,1162,4.24,122,10.6,0.88
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,518,623,3.69,105,20.27,0.76
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,420,552,3.59,103,24.52,0.74
2eb70248d66e0e3ef83659f71b244378,campinas,SP,198,208,2.72,99,50.0,0.71
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,561,574,4.0,98,17.47,0.71
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,733,784,4.21,92,12.55,0.66
897060da8b9a21f655304d50fd935913,ribeirao preto,SP,314,426,3.39,81,25.8,0.58
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,SP,531,532,4.09,80,15.07,0.58
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,404,521,3.85,79,19.55,0.57
391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,523,608,3.96,79,15.11,0.57
a1043bafd471dff536d0c462352beb48,ilicinea,MG,715,767,4.19,78,10.91,0.56
88460e8ebdecbfecb5f9601833981930,maringa,PR,247,301,3.35,77,31.17,0.55
e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,653,746,4.17,77,11.79,0.55
4e922959ae960d389249c378d1c939f5,jacarei,SP,415,449,3.9,76,18.31,0.55
1ca7077d890b907f89be8c954a02686a,santana de parnaiba,SP,114,136,2.2,70,61.4,0.5
855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,307,322,3.72,70,22.8,0.5
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,515,535,4.18,68,13.2,0.49
f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,663,720,4.22,68,10.26,0.49
2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,SP,395,428,3.9,67,16.96,0.48
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,381,426,3.83,66,17.32,0.48
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,SP,471,520,4.04,66,14.01,0.48
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,388,398,4.0,65,16.75,0.47
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,321,342,3.99,64,19.94,0.46
70a12e78e608ac31179aea7f8422044b,jacarei,SP,313,326,3.77,63,20.13,0.45
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,581,582,4.34,61,10.5,0.44
128639473a139ac0f3e5f5ade55873a5,maringa,PR,527,554,4.18,59,11.2,0.42
7040e82f899a04d1b434b795a43b4617,sao paulo,SP,210,225,3.53,57,27.14,0.41
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,SP,331,340,3.91,57,17.22,0.41
16090f2ca825584b5a147ab24aa30c86,atibaia,SP,400,407,4.04,56,14.0,0.4
ef506c96320abeedfb894c34db06f478,sao paulo,SP,321,336,3.9,55,17.13,0.4
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,352,371,4.04,55,15.62,0.4
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,MG,506,519,4.17,53,10.47,0.38
92eb0f42c21942b6552362b9b114707d,sao paulo,SP,338,362,3.93,51,15.09,0.37
dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,SP,231,249,3.77,50,21.65,0.36
c3867b4666c7d76867627c2f7fb22e21,guara,SP,243,257,3.84,50,20.58,0.36
77530e9772f57a62c906e1c21538ab82,curitiba,PR,318,387,4.05,50,15.72,0.36
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,386,425,4.15,50,12.95,0.36
